"Mark","Company","Symbol","Category","LTP","Change %","5 Days %","10 Days %","15 Days %","20 Days %","1 Month %","2 Month %","3 Month %","Week 52 Low %","Week 52 High %",
"No","Mahindra & Mahindra Ltd.","M&M","AUTOMOBILE","1,318.50","(1.23)%","27.17%","50.00%","33.33%","25.00%","","","","15.52%","(12.62)%",
"No","L&T Finance Holdings Ltd.","L&TFH","FINANCIAL SERVICES","133.20","(1.95)%","26.41%","50.00%","33.33%","25.00%","","","","90.01%","(5.13)%",
"No","Cox & Kings Ltd.","COX&KINGS","SERVICES","221.05","0.36%","25.63%","50.00%","33.33%","25.00%","","","","50.78%","(8.58)%",
"No","Jammu & Kashmir Bank Ltd.","J&KBANK","BANK","82.75","(0.30)%","25.15%","50.00%","33.33%","25.00%","","","","46.72%","(10.25)%",
"No","GE T&D India Ltd.","GET&D","INDUSTRIAL MANUFACTURING","334.35","(2.08)%","24.67%","50.00%","33.33%","25.00%","","","","20.33%","(12.01)%",
"No","IL&FS Transportation Networks Ltd.","IL&FSTRANS","SERVICES","110.75","(3.40)%","23.86%","50.00%","33.33%","25.00%","","","","68.31%","(11.26)%",
"Yes","Mahindra & Mahindra Financial Services Ltd.","M&MFIN","FINANCIAL SERVICES","330.00","(0.24)%","23.50%","50.00%","33.33%","25.00%","","","","35.25%","(18.50)%",
"No","Motilal Oswal Financial Services Ltd.","MOTILALOFS","FINANCIAL SERVICES","962.70","2.49%","14.91%","(2.88)%","0.44%","0.81%","25.35%","36.63%","63.31%","255.24%","(1.06)%",
"Yes","MOIL Ltd.","MOIL","METALS","323.00","(1.73)%","12.50%","(2.94)%","(1.57)%","(1.81)%","(0.97)%","2.22%","(11.75)%","52.65%","(24.69)%",
"No","MphasiS Ltd.","MPHASIS","IT","560.20","(0.31)%","12.48%","(1.90)%","(1.31)%","(1.11)%","0.72%","(5.15)%","(2.06)%","22.31%","(10.22)%",
"No","Navkar Corporation Ltd.","NAVKARCORP","SERVICES","216.95","1.45%","11.76%","(3.36)%","(1.23)%","(0.20)%","3.28%","31.48%","23.97%","40.19%","(3.58)%",
"Yes","Maruti Suzuki India Ltd.","MARUTI","AUTOMOBILE","6,649.00","0.14%","11.63%","(2.19)%","(0.55)%","(0.05)%","6.13%","12.98%","7.22%","75.44%","(1.20)%",
"Yes","Motherson Sumi Systems Ltd.","MOTHERSUMI","AUTOMOBILE","394.80","(2.22)%","11.43%","(2.26)%","(0.62)%","(0.19)%","4.54%","11.81%","16.87%","58.71%","(3.78)%",
"No","Minda Corporation Ltd.","MINDACORP","AUTOMOBILE","110.70","(3.11)%","11.37%","(4.67)%","(2.59)%","(0.47)%","8.26%","19.81%","22.73%","30.24%","(22.75)%",
"No","NBCC (India) Ltd.","NBCC","CONSTRUCTION","196.95","(1.08)%","11.32%","(2.95)%","(0.78)%","0.57%","11.11%","18.08%","(29.19)%","67.86%","(4.39)%",
"No","Minda Industries Ltd.","MINDAIND","AUTOMOBILE","484.00","(0.28)%","11.22%","(2.68)%","0.07%","0.66%","10.50%","11.51%","27.03%","144.44%","(4.52)%",
"No","Max India Ltd.","MAXINDIA","FINANCIAL SERVICES","153.90","(1.19)%","11.20%","(2.05)%","(1.04)%","(0.52)%","3.29%","2.60%","2.63%","29.27%","(14.50)%",
"Yes","Navneet Education Ltd.","NAVNETEDUL","MEDIA & ENTERTAINMENT","167.60","(0.83)%","11.16%","(3.77)%","(1.92)%","(0.57)%","3.46%","13.24%","28.43%","97.18%","(4.23)%",
"Yes","NHPC Ltd.","NHPC","ENERGY","31.40","(1.88)%","11.12%","(3.42)%","(1.70)%","(1.14)%","(1.57)%","5.19%","0.48%","53.55%","(5.42)%",
"No","Monsanto India Ltd.","MONSANTO","FERTILISERS & PESTICIDES","2,575.00","0.01%","11.11%","(3.80)%","(1.41)%","(0.67)%","3.96%","4.21%","11.42%","49.71%","(6.25)%",
"No","Muthoot Finance Ltd.","MUTHOOTFIN","FINANCIAL SERVICES","389.75","(2.62)%","11.04%","(3.51)%","(2.77)%","(0.78)%","3.11%","10.72%","14.63%","106.71%","(7.07)%",
"No","Merck Ltd.","MERCK","PHARMA","1,083.00","(2.23)%","11.04%","(3.82)%","(2.72)%","(1.65)%","(5.17)%","6.80%","9.95%","62.73%","(9.67)%",
"Yes","MRF Ltd.","MRF","AUTOMOBILE","68,300.00","1.91%","10.99%","(2.91)%","(0.05)%","0.48%","12.15%","30.82%","35.25%","126.90%","(3.12)%",
"No","MMTC Ltd.","MMTC","SERVICES","64.75","(3.14)%","10.95%","(4.05)%","(0.99)%","(0.06)%","1.57%","4.10%","1.89%","83.43%","(12.38)%",
"No","NCC Ltd.","NCC","CONSTRUCTION","94.60","(3.17)%","10.92%","(3.99)%","(1.57)%","(0.06)%","11.49%","18.84%","9.49%","38.41%","(6.80)%",
"No","Navin Fluorine International Ltd.","NAVINFLUOR","CHEMICALS","3,040.00","(1.09)%","10.60%","(5.09)%","(2.27)%","(1.13)%","(1.98)%","21.45%","13.62%","59.39%","(6.17)%",
"No","Mangalore Refinery & Petrochemicals Ltd.","MRPL","ENERGY","126.25","(3.11)%","10.55%","(3.10)%","(0.75)%","0.51%","17.61%","20.76%","13.64%","100.40%","(7.07)%",
"No","National Aluminium Co. Ltd.","NATIONALUM","METALS","65.45","(3.39)%","10.38%","(3.39)%","(1.76)%","(2.33)%","(10.83)%","(16.30)%","(11.49)%","62.61%","(18.14)%",
"No","Mahindra Holidays & Resorts India Ltd.","MHRIL","SERVICES","441.00","(0.81)%","10.29%","(3.95)%","(0.94)%","(0.83)%","1.15%","3.50%","(0.90)%","22.50%","(14.20)%",
"No","Manappuram Finance Ltd.","MANAPPURAM","FINANCIAL SERVICES","90.65","(2.32)%","10.21%","(4.03)%","(2.38)%","(0.84)%","(6.16)%","(7.64)%","(1.20)%","134.54%","(15.20)%",
"No","Manpasand Beverages Ltd.","MANPASAND","CONSUMER GOODS","689.90","0.12%","10.14%","(4.20)%","(2.47)%","(1.40)%","(2.71)%","(4.58)%","0.13%","40.21%","(11.21)%",
"No","Narayana Hrudayalaya Ltd.","NH","HEALTHCARE SERVICES","310.00","(1.21)%","10.04%","(3.80)%","(1.86)%","(1.29)%","(4.00)%","(4.02)%","(4.50)%","10.32%","(18.21)%",
"No","McLeod Russel India Ltd.","MCLEODRUSS","CONSUMER GOODS","184.90","(0.80)%","9.99%","(2.74)%","(0.91)%","(0.41)%","4.17%","6.76%","15.13%","34.47%","(15.84)%",
"Yes","Marico Ltd.","MARICO","CONSUMER GOODS","305.00","(1.87)%","9.89%","(3.55)%","(0.73)%","(0.44)%","1.23%","9.61%","12.75%","29.90%","(7.01)%",
"No","Nava Bharat Ventures Ltd.","NBVENTURES","ENERGY","144.20","(1.30)%","9.78%","(4.05)%","(1.16)%","0.52%","12.22%","24.85%","27.72%","88.13%","(6.97)%",
"No","NATCO Pharma Ltd.","NATCOPHARM","PHARMA","900.05","0.92%","9.57%","(4.22)%","(2.63)%","(1.56)%","4.60%","17.35%","13.73%","105.49%","(11.41)%",
"No","Marksans Pharma Ltd.","MARKSANS","PHARMA","48.20","(2.72)%","8.64%","(4.67)%","(2.79)%","(1.86)%","(7.31)%","0.31%","17.56%","30.98%","(17.32)%",
"Yes","Network18 Media & Investments Ltd.","NETWORK18","MEDIA & ENTERTAINMENT","44.60","(4.19)%","8.60%","(3.35)%","0.54%","1.18%","13.63%","24.23%","16.75%","62.48%","(10.80)%",
"No","SREI Infrastructure Finance Ltd.","SREINFRA","FINANCIAL SERVICES","103.90","(1.00)%","6.30%","2.78%","2.55%","2.03%","25.94%","11.18%","8.80%","102.73%","(2.21)%",
"Yes","Godrej Properties Ltd.","GODREJPROP","CONSTRUCTION","525.15","(1.10)%","5.37%","2.77%","1.45%","1.90%","20.03%","42.05%","40.73%","83.39%","(10.38)%",
"No","Union Bank of India","UNIONBANK","BANK","187.40","(1.63)%","5.08%","2.82%","2.56%","1.30%","23.61%","26.20%","11.35%","79.33%","(8.63)%",
"No","Syndicate Bank","SYNDIBANK","BANK","87.00","(3.60)%","4.51%","4.18%","2.88%","1.49%","24.11%","29.27%","18.93%","46.96%","(6.65)%",
"Yes","Federal Bank Ltd.","FEDERALBNK","BANK","116.60","3.60%","4.41%","4.85%","2.90%","1.78%","32.80%","37.58%","40.40%","148.61%","(2.83)%",
"No","Gujarat State Fertilizers & Chemicals Ltd.","GSFC","FERTILISERS & PESTICIDES","138.40","(2.77)%","4.37%","2.88%","1.42%","1.35%","16.11%","18.09%","27.21%","107.03%","(3.89)%",
"Yes","Canara Bank","CANBK","BANK","392.00","0.99%","4.37%","3.37%","2.27%","1.94%","28.90%","35.55%","25.92%","129.54%","(5.77)%",
"No","Chambal Fertilizers & Chemicals Ltd.","CHAMBLFERT","FERTILISERS & PESTICIDES","113.65","0.26%","4.16%","2.46%","2.78%","3.03%","31.69%","43.77%","38.01%","112.23%","(4.17)%",
"No","Future Retail Ltd.","FRETAIL","CONSUMER GOODS","350.80","0.23%","4.15%","1.14%","1.91%","2.12%","24.40%","31.88%","58.73%","203.85%","(2.50)%",
"No","Dena Bank","DENABANK","BANK","46.50","(0.96)%","4.02%","3.23%","2.43%","1.50%","19.23%","25.85%","15.53%","66.07%","(5.10)%",
"Yes","Sobha Ltd.","SOBHA","CONSTRUCTION","409.50","(0.68)%","3.93%","0.51%","0.86%","0.94%","2.12%","25.98%","48.56%","89.54%","(3.62)%",
"No","Igarashi Motors India Ltd.","IGARASHI","AUTOMOBILE","890.00","(1.34)%","3.81%","2.09%","1.47%","1.00%","12.48%","15.20%","15.23%","53.18%","(5.68)%",
"No","Coromandel International Ltd.","COROMANDEL","FERTILISERS & PESTICIDES","394.00","(1.29)%","3.73%","0.75%","0.47%","1.39%","22.08%","21.49%","16.91%","83.26%","(3.67)%",
"No","Bhushan Steel Ltd.","BHUSANSTL","METALS","76.60","(3.16)%","3.69%","0.31%","0.39%","2.37%","28.09%","36.30%","32.87%","122.03%","(8.04)%",
"No","8K Miles Soft Services Ltd.","8KMILES","IT","596.50","2.90%","3.44%","0.09%","(0.71)%","(0.98)%","(0.43)%","(5.64)%","(4.02)%","26.36%","(29.72)%",
"No","JK Tyre & Industries Ltd.","JKTYRE","AUTOMOBILE","175.30","(0.31)%","3.41%","2.20%","2.50%","2.74%","27.21%","46.08%","48.37%","121.34%","(5.14)%",
"No","Ashoka Buildcon Ltd.","ASHOKA","CONSTRUCTION","210.00","(0.97)%","3.40%","0.60%","(0.57)%","(0.77)%","1.45%","15.13%","10.58%","66.53%","(9.05)%",
"Yes","PTC India Ltd.","PTC","ENERGY","99.25","(2.93)%","3.20%","0.68%","0.46%","0.02%","4.31%","12.53%","13.88%","61.78%","(5.21)%",
"No","Indian Bank","INDIANB","BANK","336.20","(3.38)%","3.20%","2.53%","5.12%","3.06%","24.68%","18.46%","15.20%","296.00%","(5.27)%",
"No","Andhra Bank","ANDHRABANK","BANK","71.15","(4.11)%","3.04%","3.47%","2.67%","1.83%","22.15%","29.60%","24.06%","59.17%","(6.50)%",
"No","Sudarshan Chemical Industries Ltd.","SUDARSCHEM","CHEMICALS","405.25","(0.09)%","3.00%","0.87%","0.90%","0.53%","10.66%","17.82%","11.47%","284.12%","(11.00)%",
"No","Allahabad Bank","ALBK","BANK","84.30","(4.26)%","2.86%","3.06%","2.42%","1.42%","16.68%","21.65%","12.47%","71.69%","(6.75)%",
"No","Ceat Ltd.","CEATLTD","AUTOMOBILE","1,668.00","2.84%","2.83%","2.29%","1.92%","1.30%","21.39%","43.03%","46.31%","128.49%","(0.83)%",
"No","Ballarpur Industries Ltd.","BALLARPUR","PAPER","19.30","(2.53)%","2.81%","0.34%","(0.20)%","0.15%","1.85%","6.34%","18.04%","52.57%","(11.06)%",
"No","Indiabulls Housing Finance Ltd.","IBULHSGFIN","FINANCIAL SERVICES","1,107.00","2.80%","2.68%","1.62%","1.62%","1.40%","16.02%","29.61%","33.53%","79.71%","(2.01)%",
"No","Ahluwalia Contracts (India) Ltd.","AHLUCONT","CONSTRUCTION","374.25","4.19%","2.60%","(0.04)%","0.22%","1.17%","10.07%","22.58%","28.17%","59.26%","(0.77)%",
"No","Indian Overseas Bank","IOB","BANK","30.55","(3.02)%","2.59%","1.40%","0.70%","0.47%","11.90%","14.21%","7.38%","49.02%","(5.12)%",
"No","Sterlite Technologies Ltd.","STRTECH","INDUSTRIAL MANUFACTURING","154.55","(1.87)%","2.58%","0.49%","1.12%","0.99%","18.34%","23.59%","13.51%","111.71%","(4.54)%",
"No","Supreme Industries Ltd.","SUPREMEIND","INDUSTRIAL MANUFACTURING","1,175.20","0.08%","2.46%","2.00%","0.94%","0.51%","8.64%","17.64%","19.75%","60.88%","(2.24)%",
"No","Oriental Bank of Commerce","ORIENTBANK","BANK","174.55","(3.96)%","2.45%","3.19%","2.20%","1.28%","22.75%","41.16%","35.00%","127.43%","(8.61)%",
"No","Corporation Bank","CORPBANK","BANK","60.45","(3.20)%","2.43%","2.13%","1.78%","0.90%","9.51%","27.80%","14.49%","82.63%","(6.64)%",
"No","IFCI Ltd.","IFCI","FINANCIAL SERVICES","32.20","(1.68)%","2.36%","2.15%","1.63%","1.06%","8.42%","12.20%","2.06%","51.53%","(3.74)%",
"No","Can Fin Homes Ltd.","CANFINHOME","FINANCIAL SERVICES","2,825.10","(0.57)%","2.31%","2.35%","1.65%","1.04%","21.24%","44.51%","38.15%","161.10%","(2.58)%",
"No","Asahi India Glass Ltd.","ASAHIINDIA","AUTOMOBILE","227.00","(0.31)%","2.29%","0.63%","0.26%","(0.12)%","0.89%","8.40%","12.38%","58.52%","(4.10)%",
"Yes","Punjab National Bank","PNB","BANK","174.20","(2.93)%","2.22%","2.36%","2.07%","0.83%","16.68%","23.24%","14.76%","145.18%","(6.24)%",
"Yes","Den Networks Ltd.","DEN","MEDIA & ENTERTAINMENT","98.00","(2.49)%","2.21%","0.41%","(0.46)%","0.61%","8.89%","19.29%","16.67%","64.43%","(6.67)%",
"Yes","ICICI Bank Ltd.","ICICIBANK","BANK","298.00","0.07%","2.21%","1.00%","0.56%","(0.32)%","7.16%","8.17%","3.49%","39.77%","(1.24)%",
"No","Intellect Design Arena Ltd.","INTELLECT","IT","128.05","(2.88)%","2.21%","1.07%","1.00%","0.91%","6.09%","6.84%","(3.36)%","18.78%","(45.00)%",
"Yes","LIC Housing Finance Ltd.","LICHSGFIN","FINANCIAL SERVICES","720.80","0.61%","2.19%","1.34%","1.73%","1.23%","15.10%","26.66%","29.83%","67.20%","(0.92)%",
"No","Escorts Ltd.","ESCORTS","AUTOMOBILE","595.00","4.62%","2.15%","0.92%","0.45%","0.41%","14.23%","20.70%","51.17%","265.93%","(0.10)%",
"No","Karnataka Bank Ltd.","KTKBANK","BANK","166.65","(3.00)%","2.10%","2.02%","1.40%","0.92%","15.17%","22.04%","37.39%","93.19%","(5.42)%",
"No","Gruh Finance Ltd.","GRUH","FINANCIAL SERVICES","419.00","0.64%","2.06%","1.18%","0.65%","0.81%","10.85%","15.11%","16.71%","70.33%","(4.49)%",
"No","V-Guard Industries Ltd.","VGUARD","INDUSTRIAL MANUFACTURING","205.50","1.23%","2.06%","1.07%","1.07%","0.81%","12.76%","(17.80)%","(5.34)%","202.43%","(3.45)%",
"No","Sunteck Realty Ltd.","SUNTECK","CONSTRUCTION","463.20","(1.76)%","2.05%","1.51%","1.58%","1.27%","14.92%","63.04%","90.23%","165.29%","(3.66)%",
"No","Central Bank of India","CENTRALBK","BANK","110.05","(0.36)%","2.01%","1.26%","0.63%","0.26%","8.00%","20.21%","19.30%","47.52%","(5.86)%",
"No","E.I.D. Parry (India) Ltd.","EIDPARRY","FERTILISERS & PESTICIDES","326.00","2.81%","2.00%","0.40%","0.24%","0.88%","17.52%","14.39%","10.81%","49.85%","(1.78)%",
"No","Vijaya Bank","VIJAYABANK","BANK","82.80","(1.43)%","1.99%","2.49%","3.12%","1.69%","22.76%","27.98%","28.17%","179.73%","(3.72)%",
"Yes","Cummins India Ltd.","CUMMINSIND","INDUSTRIAL MANUFACTURING","1,033.70","(2.54)%","1.93%","1.32%","1.45%","0.74%","6.82%","19.36%","14.56%","38.54%","(5.75)%",
"No","Mahindra CIE Automotive Ltd.","MAHINDCIE","INDUSTRIAL MANUFACTURING","244.00","(3.21)%","1.92%","2.51%","0.90%","0.67%","11.93%","22.00%","25.64%","44.94%","(5.06)%",
"No","Dilip Buildcon Ltd.","DBL","CONSTRUCTION","460.10","7.69%","1.84%","(0.17)%","1.37%","1.77%","30.34%","43.78%","75.28%","158.63%","(3.12)%",
"No","BASF India Ltd.","BASF","CHEMICALS","1,360.00","(1.12)%","1.83%","0.43%","0.42%","0.05%","5.93%","11.93%","16.54%","48.31%","(2.75)%",
"No","IDBI Bank Ltd.","IDBI","BANK","78.35","(3.69)%","1.83%","1.62%","1.50%","0.39%","4.47%","0.84%","(4.10)%","24.86%","(9.32)%",
"No","Sundram Fasteners Ltd.","SUNDRMFAST","AUTOMOBILE","406.00","(2.50)%","1.76%","0.70%","0.37%","(0.03)%","0.89%","14.37%","19.41%","158.93%","(4.90)%",
"No","Hexaware Technologies Ltd.","HEXAWARE","IT","237.95","(0.56)%","1.72%","1.49%","2.18%","1.73%","11.92%","5.43%","21.16%","33.72%","(1.63)%",
"No","Dalmia Bharat Ltd.","DALMIABHA","CEMENT & CEMENT PRODUCTS","2,263.60","1.10%","1.72%","1.33%","0.98%","0.30%","4.55%","19.41%","18.20%","186.51%","(4.85)%",
"No","Somany Ceramics Ltd.","SOMANYCERA","CONSTRUCTION","754.00","(3.48)%","1.71%","0.91%","1.91%","1.36%","10.88%","18.00%","22.01%","85.49%","(5.40)%",
"Yes","Raymond Ltd.","RAYMOND","TEXTILES","760.00","(1.52)%","1.71%","(0.06)%","0.62%","2.41%","17.25%","16.82%","51.68%","91.07%","(5.86)%",
"Yes","Emami Ltd.","EMAMILTD","CONSUMER GOODS","1,086.00","(2.65)%","1.67%","1.48%","0.90%","0.38%","5.22%","4.45%","(1.72)%","16.10%","(13.81)%",
"No","Zensar Technolgies Ltd.","ZENSARTECH","IT","887.60","(0.01)%","1.66%","(0.85)%","(0.60)%","(0.54)%","(4.25)%","(3.47)%","(1.20)%","8.89%","(21.87)%",
"No","JK Lakshmi Cement Ltd.","JKLAKSHMI","CEMENT & CEMENT PRODUCTS","487.00","(0.70)%","1.63%","(0.55)%","0.57%","0.75%","7.93%","19.11%","24.23%","47.89%","(5.07)%",
"No","Gujarat Narmada Valley Fertilizers and Chemicals Ltd.","GNFC","CHEMICALS","313.00","(2.03)%","1.62%","1.58%","1.11%","1.18%","16.47%","21.48%","23.72%","180.72%","(3.01)%",
"No","UCO Bank","UCOBANK","BANK","41.50","(5.03)%","1.60%","1.90%","2.02%","1.20%","11.56%","13.85%","12.01%","54.85%","(10.75)%",
"No","V.I.P. Industries Ltd.","VIPIND","CONSUMER GOODS","202.00","(2.25)%","1.60%","0.54%","0.82%","0.69%","0.35%","33.25%","48.91%","96.12%","(6.91)%",
"Yes","Cadila Healthcare Ltd.","CADILAHC","PHARMA","464.00","1.35%","1.56%","(0.26)%","0.27%","0.10%","2.07%","5.94%","26.74%","52.13%","(2.32)%",
"No","JM Financial Ltd.","JMFINANCIL","FINANCIAL SERVICES","119.10","(0.50)%","1.55%","0.93%","2.03%","2.13%","26.90%","46.22%","57.12%","191.55%","(4.26)%",
"No","Amtek Auto Ltd.","AMTEKAUTO","AUTOMOBILE","38.05","(3.06)%","1.55%","3.86%","2.45%","1.43%","13.24%","5.84%","(2.31)%","22.74%","(32.36)%",
"No","K.P.R. Mill Ltd.","KPRMILL","TEXTILES","735.00","(0.92)%","1.52%","0.90%","0.67%","0.62%","7.69%","15.49%","19.58%","70.93%","(4.27)%",
"Yes","Adani Ports and Special Economic Zone Ltd.","ADANIPORTS","SERVICES","344.20","1.40%","1.52%","0.37%","0.16%","0.45%","(1.11)%","11.39%","13.28%","102.83%","(4.19)%",
"Yes","Oracle Financial Services Software Ltd.","OFSS","IT","3,694.95","(1.27)%","1.46%","0.26%","0.34%","(0.66)%","(3.27)%","(1.73)%","1.90%","31.57%","(9.61)%",
"Yes","Bank of India","BANKINDIA","BANK","182.80","(4.94)%","1.45%","4.52%","3.64%","2.46%","29.83%","45.14%","37.34%","133.16%","(7.30)%",
"No","DCM Shriram Ltd.","DCMSHRIRAM","CONSUMER GOODS","364.35","(2.68)%","1.42%","1.83%","2.29%","1.47%","12.45%","32.73%","27.89%","142.09%","(7.29)%",
"No","Gillette India Ltd.","GILLETTE","CONSUMER GOODS","4,400.00","(1.04)%","1.40%","1.26%","0.67%","0.44%","5.49%","7.55%","5.54%","9.39%","(10.17)%",
"Yes","State Bank of India","SBIN","BANK","295.95","(1.04)%","1.39%","0.55%","0.40%","(0.27)%","2.65%","10.55%","6.61%","77.85%","(2.94)%",
"No","Century Textile & Industries Ltd.","CENTURYTEX","CEMENT & CEMENT PRODUCTS","1,138.50","(1.76)%","1.33%","0.04%","0.21%","0.72%","6.32%","21.42%","26.79%","96.29%","(3.51)%",
"No","Tube Investments of India Ltd.","TUBEINVEST","AUTOMOBILE","698.00","(0.40)%","1.32%","(0.12)%","(0.02)%","(0.13)%","9.83%","11.68%","15.09%","67.75%","(4.34)%",
"No","Trident Ltd.","TRIDENT","TEXTILES","86.50","0.35%","1.32%","0.10%","0.60%","0.43%","6.07%","12.70%","22.18%","105.95%","(4.26)%",
"No","Arvind Ltd.","ARVIND","TEXTILES","408.15","(2.54)%","1.31%","0.27%","0.76%","0.54%","2.94%","3.30%","10.53%","50.03%","(4.29)%",
"No","KNR Constructions Ltd.","KNRCON","CONSTRUCTION","204.00","(0.10)%","1.24%","1.56%","(0.25)%","0.05%","3.55%","13.33%","9.09%","102.76%","(3.32)%",
"No","Techno Elt & Eng Co. Ltd.","TECHNO","CONSTRUCTION","398.30","(1.19)%","1.24%","0.45%","0.92%","0.42%","1.87%","7.65%","9.12%","64.25%","(4.00)%",
"No","Magma Fincorp Ltd.","MAGMA","FINANCIAL SERVICES","117.65","(4.78)%","1.21%","(0.09)%","0.64%","(0.04)%","(2.77)%","20.05%","13.13%","37.60%","(8.51)%",
"No","Aditya Birla Nuvo Ltd.","ABIRLANUVO","SERVICES","1,709.05","(1.65)%","1.19%","(0.17)%","0.86%","1.48%","12.32%","16.66%","21.98%","104.05%","(2.05)%",
"Yes","Grasim Industries Ltd.","GRASIM","CEMENT & CEMENT PRODUCTS","1,194.00","(0.79)%","1.19%","(0.20)%","0.91%","1.59%","13.04%","18.68%","25.75%","52.70%","(1.97)%",
"No","Gujarat Fluorochemicals Ltd.","GUJFLUORO","CHEMICALS","760.00","(3.07)%","1.18%","2.07%","0.92%","0.72%","4.22%","44.49%","60.00%","74.31%","(6.86)%",
"Yes","Bank of Baroda","BANKBARODA","BANK","187.50","(4.21)%","1.17%","1.18%","1.18%","0.93%","11.28%","16.93%","0.56%","46.20%","(7.41)%",
"No","DCB Bank Ltd.","DCBBANK","BANK","191.00","(0.96)%","1.14%","1.32%","0.98%","0.92%","13.96%","23.46%","41.59%","118.04%","(4.74)%",
"No","NIIT Technologies Ltd.","NIITTECH","IT","469.95","(1.88)%","1.11%","2.22%","1.84%","0.94%","5.84%","12.44%","11.63%","28.21%","(19.94)%",
"Yes","Rural Electrification Corporation Ltd.","RECLTD","FINANCIAL SERVICES","212.75","0.47%","1.11%","0.58%","0.95%","0.29%","15.31%","36.51%","50.67%","178.47%","(2.56)%",
"No","City Union Bank Ltd.","CUB","BANK","167.40","1.73%","1.08%","1.76%","1.97%","1.12%","9.20%","18.93%","2.89%","77.14%","(1.65)%",
"No","Kansai Nerolac Paints Ltd.","KANSAINER","CONSUMER GOODS","403.00","1.08%","1.07%","1.26%","0.55%","0.38%","3.60%","11.94%","11.96%","41.38%","(0.97)%",
