"Mark","Company","Symbol","Category","LTP","Change %","5 Days %","10 Days %","15 Days %","20 Days %","1 Month %","2 Month %","3 Month %","Week 52 Low %","Week 52 High %",
"Yes","Apollo Tyres Ltd.","APOLLOTYRE","AUTOMOBILE","244.50","0.70%","(0.68)%","0.29%","0.90%","1.46%","14.63%","35.19%","33.83%","75.46%","(3.83)%",
"Yes","TV18 Broadcast Ltd.","TV18BRDCST","MEDIA & ENTERTAINMENT","39.80","(2.45)%","(0.68)%","(0.71)%","(0.04)%","(1.15)%","(7.66)%","(4.44)%","1.14%","16.03%","(20.40)%",
"No","Aarti Industries Ltd.","AARTIIND","CHEMICALS","860.00","0.67%","(0.70)%","2.07%","1.36%","1.12%","10.12%","16.44%","9.25%","78.78%","(2.71)%",
"No","Schneider Electric Infrastructure Ltd.","SCHNEIDER","INDUSTRIAL MANUFACTURING","145.00","(1.63)%","(0.70)%","(1.85)%","(0.15)%","0.76%","0.17%","9.60%","2.29%","15.08%","(16.55)%",
"No","Indraprastha Gas Ltd.","IGL","ENERGY","1,027.00","(2.24)%","(0.71)%","(0.35)%","(0.21)%","0.16%","3.42%","(1.27)%","0.56%","85.01%","(5.29)%",
"Yes","Larsen & Toubro Ltd.","LT","CONSTRUCTION","1,722.00","(0.56)%","(0.73)%","(0.17)%","0.84%","0.52%","2.33%","16.05%","14.68%","40.77%","(2.93)%",
"No","Aban Offshore Ltd.","ABAN","ENERGY","217.75","(2.24)%","(0.73)%","(0.70)%","(0.34)%","(0.48)%","(5.33)%","(5.98)%","(10.89)%","15.64%","(23.85)%",
"No","Shipping Corporation of India Ltd.","SCI","SERVICES","79.65","3.31%","(0.74)%","(0.91)%","0.70%","1.43%","4.66%","27.54%","15.43%","43.51%","(5.91)%",
"No","Wonderla Holidays Ltd.","WONDERLA","SERVICES","382.00","(0.12)%","(0.74)%","(0.50)%","(0.13)%","(0.33)%","(2.05)%","(0.18)%","0.63%","20.89%","(8.94)%",
"No","ICICI Prudential Life Insurance Company Ltd.","ICICIPRULI","FINANCIAL SERVICES","393.65","0.11%","(0.75)%","(0.92)%","(0.07)%","(0.01)%","(1.82)%","6.97%","8.59%","45.26%","(7.16)%",
"No","Great Eastern Shipping Co. Ltd.","GESHIP","SERVICES","426.50","(3.39)%","(0.76)%","(0.69)%","(1.16)%","0.64%","1.39%","13.40%","11.40%","43.36%","(10.68)%",
"Yes","Tata Chemicals Ltd.","TATACHEM","CHEMICALS","636.00","(3.49)%","(0.76)%","0.42%","0.30%","0.73%","5.21%","10.86%","14.18%","60.52%","(4.58)%",
"Yes","Shriram Transport Finance Co. Ltd.","SRTRANSFIN","FINANCIAL SERVICES","1,003.70","(1.56)%","(0.77)%","(1.57)%","(1.02)%","(0.41)%","(7.75)%","5.10%","5.55%","29.00%","(24.21)%",
"No","Tamil Nadu Newsprint & Papers Ltd.","TNPL","PAPER","289.80","(1.50)%","(0.77)%","(0.45)%","(0.37)%","(1.36)%","(9.72)%","(17.62)%","(19.94)%","24.89%","(26.14)%",
"No","Sonata Software Ltd.","SONATSOFTW","IT","161.95","(0.89)%","(0.78)%","(0.48)%","0.14%","(0.50)%","(5.62)%","(14.31)%","(13.83)%","17.44%","(27.70)%",
"No","Snowman Logistics Ltd.","SNOWMAN","SERVICES","59.90","(0.58)%","(0.81)%","(0.84)%","0.03%","(0.30)%","(6.70)%","","(1.32)%","24.53%","(36.24)%",
"No","Prism Cement Ltd.","PRISMCEM","CEMENT & CEMENT PRODUCTS","115.90","(1.65)%","(0.81)%","2.03%","2.50%","1.96%","11.34%","23.23%","8.17%","58.98%","(10.29)%",
"Yes","Tata Power Co. Ltd.","TATAPOWER","ENERGY","83.10","0.12%","(0.81)%","(0.63)%","(0.21)%","(0.10)%","(4.97)%","0.24%","2.21%","24.03%","(8.83)%",
"No","WABCO India Ltd.","WABCOINDIA","AUTOMOBILE","5,900.00","(1.75)%","(0.83)%","(1.08)%","(0.42)%","(0.16)%","2.08%","11.15%","6.28%","23.43%","(9.58)%",
"Yes","Zee Learn Ltd.","ZEELEARN","MEDIA & ENTERTAINMENT","46.30","(1.17)%","(0.84)%","(0.11)%","(0.22)%","0.40%","(2.11)%","0.11%","(2.53)%","74.72%","(9.39)%",
"No","Cera Sanitaryware Ltd","CERA","CONSTRUCTION","3,011.00","(0.30)%","(0.85)%","0.04%","1.32%","1.20%","5.91%","23.13%","24.16%","62.56%","(9.17)%",
"Yes","TV Today Network Ltd.","TVTODAY","MEDIA & ENTERTAINMENT","265.80","0.78%","(0.86)%","(0.58)%","(0.36)%","(0.68)%","(4.22)%","4.24%","(2.46)%","6.70%","(26.17)%",
"No","HeidelbergCement India Ltd.","HEIDELBERG","CEMENT & CEMENT PRODUCTS","131.50","(1.28)%","(0.87)%","(0.32)%","0.17%","0.71%","3.38%","17.20%","1.39%","45.79%","(12.62)%",
"Yes","Tata Steel Ltd.","TATASTEEL","METALS","432.85","(2.17)%","(0.90)%","(0.80)%","(0.36)%","(0.92)%","(12.05)%","(10.27)%","(8.59)%","46.09%","(14.92)%",
"No","AstraZenca Pharma India Ltd.","ASTRAZEN","PHARMA","946.00","(1.23)%","(0.92)%","(1.29)%","(1.53)%","(0.83)%","0.29%","(5.21)%","0.33%","4.19%","(18.45)%",
"No","Repco Home Finance Ltd.","REPCOHOME","FINANCIAL SERVICES","742.00","(0.74)%","(0.92)%","(0.55)%","(0.26)%","0.66%","6.59%","17.09%","(0.23)%","52.27%","(17.55)%",
"No","Vinati Organics Ltd.","VINATIORGA","CHEMICALS","844.90","(0.24)%","(0.94)%","0.64%","0.85%","2.22%","15.90%","13.17%","12.82%","87.13%","(5.37)%",
"No","SKF India Ltd.","SKFINDIA","INDUSTRIAL MANUFACTURING","1,630.10","(2.41)%","(0.96)%","1.79%","1.85%","0.97%","4.46%","11.35%","21.65%","38.13%","(6.77)%",
"No","Berger Paints India Ltd.","BERGEPAINT","CONSUMER GOODS","258.25","1.61%","(0.96)%","0.30%","1.02%","1.11%","8.51%","15.29%","19.06%","45.13%","(6.70)%",
"No","Kolte-Patil Developers Ltd.","KOLTEPATIL","CONSTRUCTION","180.00","(4.05)%","(1.00)%","(0.21)%","0.47%","0.42%","(0.28)%","50.19%","71.18%","129.59%","(11.79)%",
"No","CARE Ltd.","CARERATING","FINANCIAL SERVICES","1,511.40","(2.49)%","(1.00)%","(0.22)%","0.09%","0.06%","(4.94)%","6.37%","8.59%","58.93%","(12.18)%",
"Yes","Glaxosmithkline Pharmaceuticals Ltd.","GLAXO","PHARMA","2,440.00","(1.12)%","(1.02)%","(1.33)%","(1.02)%","(1.03)%","(10.79)%","(9.29)%","(10.56)%","1.81%","(32.97)%",
"No","Mahanagar Gas Ltd.","MGL","ENERGY","991.00","(0.93)%","(1.02)%","(0.03)%","(0.01)%","0.76%","12.29%","15.77%","6.65%","101.16%","(6.06)%",
"No","Kec International Ltd.","KEC","CONSTRUCTION","211.70","(1.65)%","(1.03)%","(0.49)%","(0.43)%","0.40%","(0.38)%","27.15%","36.93%","92.02%","(8.95)%",
"Yes","Container Corporation of India Ltd.","CONCOR","SERVICES","1,190.70","0.03%","(1.03)%","(0.44)%","0.18%","0.26%","6.22%","(4.38)%","(5.41)%","41.00%","(3.98)%",
"Yes","JSW Energy Ltd.","JSWENERGY","ENERGY","64.30","2.23%","(1.06)%","0.30%","(0.04)%","(0.02)%","(3.09)%","1.10%","3.54%","21.21%","(25.66)%",
"Yes","Blue Dart Express Ltd.","BLUEDART","SERVICES","4,820.00","0.30%","(1.06)%","(0.41)%","(0.11)%","(0.40)%","(5.30)%","9.27%","12.15%","15.85%","(21.88)%",
"No","Wockhardt Ltd.","WOCKPHARMA","PHARMA","680.35","(4.75)%","(1.07)%","(1.24)%","(0.99)%","(1.03)%","(10.60)%","(7.56)%","(3.22)%","8.47%","(39.74)%",
"No","Solar Industries India Ltd.","SOLARINDS","CHEMICALS","781.00","0.03%","(1.07)%","(0.88)%","(0.34)%","(0.80)%","(5.90)%","7.43%","7.72%","32.82%","(14.64)%",
"Yes","Bharat Forge Ltd.","BHARATFORG","INDUSTRIAL MANUFACTURING","1,100.00","(1.46)%","(1.09)%","0.29%","1.35%","1.03%","2.80%","4.82%","12.13%","61.29%","(6.45)%",
"Yes","Bharti Airtel Ltd.","BHARTIARTL","TELECOM","344.50","(0.43)%","(1.10)%","(0.39)%","0.62%","0.37%","(0.10)%","(4.36)%","(2.63)%","21.71%","(14.09)%",
"No","Shree Renuka Sugars Ltd.","RENUKA","CONSUMER GOODS","14.25","(1.38)%","(1.10)%","(1.36)%","(0.20)%","0.26%","(5.63)%","(8.06)%","(14.16)%","26.67%","(25.59)%",
"No","Hindustan Construction Co. Ltd.","HCC","CONSTRUCTION","42.70","(8.07)%","(1.10)%","(0.78)%","1.05%","1.58%","4.53%","9.49%","2.64%","137.22%","(11.23)%",
"No","State Trading Corporation of India Ltd.","STCINDIA","SERVICES","166.10","(3.57)%","(1.11)%","(0.93)%","(0.37)%","(0.18)%","(1.16)%","3.36%","1.19%","104.56%","(33.93)%",
"No","GE Power India Ltd.","GEPIL","INDUSTRIAL MANUFACTURING","639.00","(0.95)%","(1.12)%","(1.21)%","1.43%","1.27%","8.31%","6.51%","(0.31)%","46.73%","(8.06)%",
"No","NLC India Ltd.","NLCINDIA","ENERGY","102.50","(1.11)%","(1.12)%","(0.65)%","0.03%","(0.34)%","(3.30)%","8.24%","5.34%","51.85%","(16.60)%",
"No","TVS Srichakra Ltd.","TVSSRICHAK","AUTOMOBILE","4,013.00","(1.37)%","(1.12)%","1.48%","2.18%","1.48%","10.19%","32.22%","22.54%","79.07%","(7.53)%",
"Yes","IndusInd Bank Ltd.","INDUSINDBK","BANK","1,409.00","(0.79)%","(1.14)%","(0.34)%","0.25%","0.10%","(0.01)%","5.54%","6.34%","37.43%","(5.02)%",
"No","CRISIL Ltd.","CRISIL","FINANCIAL SERVICES","1,889.10","(1.09)%","(1.15)%","0.21%","(0.27)%","(0.68)%","(3.55)%","(6.39)%","(8.74)%","4.28%","(24.44)%",
"No","BEML Ltd.","BEML","INDUSTRIAL MANUFACTURING","1,353.05","(2.03)%","(1.16)%","(0.39)%","0.51%","0.20%","(0.73)%","4.92%","7.02%","75.49%","(6.04)%",
"No","Unichem Laboratories Ltd.","UNICHEMLAB","PHARMA","267.25","(1.71)%","(1.17)%","(0.44)%","(0.73)%","(0.49)%","(3.26)%","0.89%","(2.62)%","14.58%","(18.52)%",
"No","Sadbhav Engineering Ltd.","SADBHAV","CONSTRUCTION","326.50","0.02%","(1.20)%","0.11%","0.40%","0.00%","2.67%","17.00%","18.30%","37.21%","(5.09)%",
"No","Parag Milk Foods Ltd.","PARAGMILK","CONSUMER GOODS","240.00","1.31%","(1.20)%","(0.72)%","(0.61)%","(0.28)%","(1.84)%","7.77%","(11.83)%","18.96%","(32.77)%",
"No","Torrent Power Ltd.","TORNTPOWER","ENERGY","218.25","(0.80)%","(1.21)%","(0.75)%","0.30%","0.75%","(4.84)%","8.96%","3.58%","37.01%","(9.80)%",
"No","Himachal Fut Com Ltd.","HFCL","TELECOM","14.55","(3.64)%","(1.25)%","(2.21)%","0.20%","1.31%","5.43%","6.59%","(2.02)%","32.27%","(28.15)%",
"No","Strides Shasun Ltd.","STAR","PHARMA","1,042.00","0.10%","(1.26)%","(1.20)%","(0.32)%","(0.49)%","(5.85)%","(9.22)%","(13.55)%","13.51%","(18.26)%",
"Yes","Aurobindo Pharma Ltd.","AUROPHARMA","PHARMA","589.25","(0.42)%","(1.27)%","(1.60)%","(1.22)%","(1.35)%","(10.56)%","(11.36)%","(15.89)%","1.32%","(34.16)%",
"Yes","Idea Cellular Ltd.","IDEA","TELECOM","82.05","(1.56)%","(1.27)%","(0.52)%","(0.21)%","(0.37)%","(6.23)%","(24.27)%","(23.60)%","24.70%","(33.56)%",
"Yes","Ashok Leyland Ltd.","ASHOKLEY","AUTOMOBILE","83.20","(0.06)%","(1.29)%","(1.45)%","0.66%","0.62%","(0.66)%","(8.82)%","(11.68)%","13.20%","(25.51)%",
"Yes","HCL Infosystems Ltd.","HCL-INSYS","IT","53.70","(3.50)%","(1.33)%","(1.29)%","(0.76)%","0.21%","(2.36)%","0.47%","(3.76)%","48.96%","(17.26)%",
"No","Jindal Steel & Power Ltd.","JINDALSTEL","METALS","107.45","(4.79)%","(1.34)%","(0.33)%","0.18%","(1.39)%","(16.54)%","(13.76)%","19.39%","85.74%","(20.55)%",
"Yes","Zee Entertainment Enterprises Ltd.","ZEEL","MEDIA & ENTERTAINMENT","505.00","(3.02)%","(1.34)%","(0.19)%","(0.12)%","(0.01)%","(7.55)%","(0.13)%","0.40%","27.43%","(14.39)%",
"No","Jubilant Life Sciences Ltd.","JUBILANT","PHARMA","766.40","4.39%","(1.35)%","(1.57)%","(1.39)%","(1.33)%","(5.85)%","8.68%","9.33%","168.91%","(12.71)%",
"Yes","JSW Steel Ltd.","JSWSTEEL","METALS","189.55","(2.32)%","(1.38)%","(0.18)%","0.85%","0.19%","(4.27)%","4.58%","0.29%","51.20%","(8.43)%",
"No","Equitas Holdings Ltd.","EQUITAS","FINANCIAL SERVICES","159.75","(2.32)%","(1.39)%","(0.92)%","(0.78)%","0.15%","(3.06)%","(6.19)%","(11.18)%","15.97%","(22.55)%",
"No","JMT Auto Ltd.","JMTAUTOLTD","AUTOMOBILE","9.45","(4.06)%","(1.43)%","(0.48)%","(0.59)%","0.05%","(6.90)%","(30.77)%","(47.79)%","2.72%","(69.42)%",
"No","JBF Industries Ltd.","JBFIND","TEXTILES","277.95","(1.94)%","(1.45)%","0.59%","0.36%","0.05%","1.55%","12.99%","20.90%","50.24%","(7.96)%",
"No","FDC Ltd.","FDC","PHARMA","190.05","(1.96)%","(1.45)%","(0.48)%","(1.08)%","(0.50)%","(7.18)%","(9.50)%","(9.50)%","15.18%","(22.11)%",
"Yes","Reliance Power Ltd.","RPOWER","ENERGY","46.10","(3.35)%","(1.46)%","(0.58)%","0.55%","0.01%","(5.73)%","(2.85)%","0.66%","21.16%","(18.33)%",
"Yes","Reliance Industries Ltd.","RELIANCE","ENERGY","1,328.40","(2.18)%","(1.46)%","(1.19)%","0.21%","0.20%","(5.47)%","1.69%","28.73%","43.51%","(9.49)%",
"Yes","Vedanta Ltd.","VEDL","METALS","223.45","(3.89)%","(1.48)%","0.25%","0.16%","(0.81)%","(16.93)%","(14.09)%","(10.26)%","137.59%","(19.65)%",
"No","Alembic Pharmaceuticals Ltd.","APLLTD","PHARMA","590.30","(1.21)%","(1.51)%","(0.52)%","0.08%","(0.16)%","(4.02)%","0.05%","6.16%","14.71%","(15.55)%",
"Yes","Glenmark Pharmaceuticals Ltd.","GLENMARK","PHARMA","844.00","(1.77)%","(1.52)%","(0.60)%","(0.70)%","(0.13)%","(2.14)%","(6.33)%","(12.01)%","15.62%","(15.09)%",
"No","RattanIndia Power Ltd.","RTNPOWER","ENERGY","8.30","(3.49)%","(1.52)%","(1.95)%","(0.77)%","0.98%","","14.48%","7.10%","31.75%","(32.52)%",
"Yes","Hindalco Industries Ltd.","HINDALCO","METALS","185.60","(3.56)%","(1.61)%","0.19%","0.96%","0.74%","(4.21)%","(3.86)%","(0.43)%","122.28%","(8.97)%",
"Yes","Cyient Ltd.","CYIENT","IT","514.50","(2.50)%","(1.63)%","0.20%","1.39%","1.76%","7.86%","9.26%","11.11%","27.04%","(8.92)%",
"No","Hindustan Petroleum Corporation Ltd.","HINDPETRO","ENERGY","523.50","(1.50)%","(1.63)%","(0.80)%","(0.65)%","(0.32)%","(2.44)%","(0.63)%","(6.55)%","96.12%","(10.21)%",
"No","S H Kelkar and Company Ltd.","SHK","CONSUMER GOODS","309.00","(4.10)%","(1.65)%","(0.29)%","(0.17)%","0.45%","0.32%","8.08%","(0.77)%","48.56%","(14.85)%",
"No","Ramco Systems Ltd.","RAMCOSYS","IT","388.50","(0.96)%","(1.66)%","(0.58)%","(0.32)%","0.26%","(3.84)%","8.52%","1.04%","36.32%","(50.51)%",
"No","Lakshmi Machine Works Ltd.","LAXMIMACH","INDUSTRIAL MANUFACTURING","4,401.00","(0.07)%","(1.69)%","(0.17)%","0.06%","0.42%","2.71%","17.95%","15.15%","32.04%","(7.29)%",
"No","Infibeam Incorporation Ltd.","INFIBEAM","IT","1,046.00","2.22%","(1.74)%","(1.71)%","(0.64)%","0.47%","7.17%","(24.75)%","(21.94)%","117.83%","(27.80)%",
"No","Balrampur Chini Mills Ltd.","BALRAMCHIN","CONSUMER GOODS","158.30","(0.19)%","(1.79)%","(1.06)%","0.36%","1.33%","5.85%","3.53%","(0.06)%","63.20%","(7.16)%",
"Yes","Hindustan Zinc Ltd.","HINDZINC","METALS","250.30","(4.01)%","(1.81)%","(1.26)%","(0.93)%","(0.61)%","(11.88)%","(16.01)%","(19.54)%","55.61%","(24.88)%",
"Yes","Inox Leisure Ltd.","INOXLEISUR","MEDIA & ENTERTAINMENT","277.95","(2.78)%","(1.82)%","(0.74)%","0.00%","0.17%","(6.73)%","4.49%","22.99%","46.25%","(9.99)%",
"Yes","Aditya Birla Fashion and Retail Ltd.","ABFRL","CONSUMER GOODS","164.30","(1.82)%","(1.87)%","(0.29)%","(1.16)%","(0.48)%","3.33%","11.39%","8.38%","33.69%","(11.52)%",
"Yes","Housing Development and Infrastructure Ltd.","HDIL","CONSTRUCTION","86.15","(2.43)%","(1.88)%","(1.19)%","(0.17)%","0.43%","4.68%","21.77%","26.51%","64.72%","(20.75)%",
"No","Swan Energy Ltd.","SWANENERGY","CONSTRUCTION","148.50","(2.11)%","(1.89)%","(0.87)%","0.83%","1.82%","5.39%","(3.32)%","(12.70)%","159.16%","(30.56)%",
"No","Shriram City Union Finance Ltd.","SHRIRAMCIT","FINANCIAL SERVICES","2,165.00","1.22%","(1.92)%","(1.47)%","(0.84)%","(0.29)%","(3.69)%","13.65%","10.07%","43.95%","(17.05)%",
"No","Bombay Burmah Trading Corporation Ltd.","BBTC","CONSUMER GOODS","882.00","(1.78)%","(1.93)%","0.18%","0.45%","0.74%","6.27%","12.46%","46.99%","150.00%","(8.02)%",
"No","Bajaj Corp Ltd.","BAJAJCORP","CONSUMER GOODS","375.00","(1.42)%","(1.94)%","(1.21)%","(0.47)%","(0.78)%","(7.20)%","2.73%","","15.56%","(13.93)%",
"No","Firstsource Solutions Ltd.","FSL","IT","39.60","(5.04)%","(2.01)%","(0.56)%","0.19%","1.01%","(3.88)%","(11.80)%","(8.55)%","28.36%","(26.19)%",
"Yes","Tata Motors Ltd DVR","TATAMTRDVR","AUTOMOBILE","259.00","(2.98)%","(2.01)%","(0.18)%","(0.05)%","(0.64)%","(8.48)%","(8.14)%","(18.81)%","0.60%","(31.51)%",
"No","Praj Industries Ltd.","PRAJIND","INDUSTRIAL MANUFACTURING","82.70","(1.49)%","(2.02)%","0.99%","1.35%","0.65%","2.35%","0.85%","(1.55)%","17.97%","(21.46)%",
"No","Allcargo Logistics Ltd.","ALLCARGO","SERVICES","180.60","(0.19)%","(2.08)%","0.35%","1.51%","1.23%","2.67%","8.96%","2.70%","25.42%","(18.47)%",
"No","Bajaj Hindusthan Sugar Ltd.","BAJAJHIND","CONSUMER GOODS","15.55","(3.72)%","(2.09)%","(1.70)%","0.55%","2.74%","14.34%","8.36%","(2.81)%","20.54%","(35.74)%",
"Yes","PVR Ltd.","PVR","MEDIA & ENTERTAINMENT","1,520.00","(1.21)%","(2.12)%","(0.19)%","0.31%","0.19%","(0.72)%","12.97%","20.09%","85.14%","(8.16)%",
"Yes","GMR Infrastructure Ltd.","GMRINFRA","CONSTRUCTION","16.20","(3.86)%","(2.18)%","(1.34)%","0.66%","1.57%","1.89%","(0.92)%","17.39%","58.82%","(13.14)%",
"Yes","Hathway Cable & Datacom Ltd.","HATHWAY","MEDIA & ENTERTAINMENT","39.80","(5.13)%","(2.19)%","(1.85)%","(0.23)%","2.27%","11.48%","10.56%","8.89%","66.18%","(19.60)%",
"Yes","Dabur India Ltd.","DABUR","CONSUMER GOODS","272.00","(1.48)%","(2.22)%","(1.53)%","(0.50)%","(0.23)%","(3.89)%","(1.40)%","1.97%","4.96%","(15.00)%",
"No","Gujarat Gas Ltd.","GUJGASLTD","ENERGY","790.00","(1.47)%","(2.25)%","(0.54)%","(0.47)%","0.07%","2.21%","17.90%","27.48%","68.09%","(10.33)%",
"No","Mahanagar Telephone Nigam Ltd.","MTNL","TELECOM","23.90","(1.04)%","(2.26)%","(1.67)%","(0.53)%","(0.33)%","(4.21)%","4.82%","(4.02)%","53.21%","(12.93)%",
"Yes","Tata Motors Ltd.","TATAMOTORS","AUTOMOBILE","419.90","(3.80)%","(2.32)%","(0.09)%","0.09%","(0.56)%","(10.28)%","(10.01)%","(17.20)%","11.65%","(29.83)%",
"Yes","Adani Transmission Ltd.","ADANITRANS","ENERGY","72.60","(3.84)%","(2.40)%","(3.32)%","(2.39)%","(0.59)%","(11.46)%","14.78%","11.52%","154.74%","(24.53)%",
"No","Jindal Poly Films Ltd.","JINDALPOLY","INDUSTRIAL MANUFACTURING","420.05","(3.27)%","(2.44)%","(0.09)%","1.09%","0.53%","(0.01)%","30.01%","18.99%","40.48%","(21.96)%",
"No","Jain Irrigation Systems Ltd.","JISLJALEQS","INDUSTRIAL MANUFACTURING","100.85","(6.10)%","(2.47)%","(1.67)%","(0.35)%","1.59%","(0.05)%","10.34%","5.55%","62.53%","(15.75)%",
"Yes","Lupin Ltd.","LUPIN","PHARMA","1,250.00","(0.93)%","(2.49)%","(2.03)%","(1.82)%","(1.19)%","(11.24)%","(14.21)%","(14.91)%","0.00%","(28.57)%",
"No","Gateway Distriparks Ltd.","GDL","SERVICES","249.05","(2.51)%","(2.66)%","(1.11)%","(1.02)%","(0.79)%","(3.66)%","(0.54)%","(3.80)%","18.40%","(23.52)%",
"Yes","Tata Communications Ltd.","TATACOMM","TELECOM","641.00","(9.17)%","(2.74)%","(0.55)%","(0.24)%","(0.16)%","(9.90)%","(14.87)%","(14.30)%","53.26%","(18.23)%",
"No","Jaiprakash Associates Ltd.","JPASSOCIAT","CEMENT & CEMENT PRODUCTS","12.50","(3.47)%","(2.74)%","0.10%","0.84%","0.41%","(3.47)%","(18.03)%","(4.58)%","135.85%","(25.60)%",
"No","Religare Enterprises Ltd.","RELIGARE","FINANCIAL SERVICES","183.00","(3.81)%","(2.77)%","(1.76)%","0.06%","(0.50)%","(16.44)%","(18.67)%","(24.24)%","0.80%","(37.76)%",
"Yes","Sun TV Network Ltd.","SUNTV","MEDIA & ENTERTAINMENT","854.00","(4.03)%","(2.90)%","(1.16)%","0.67%","2.54%","10.29%","15.09%","22.53%","154.85%","(9.73)%",
"Yes","Torrent Pharmaceuticals Ltd.","TORNTPHARM","PHARMA","1,300.00","(2.19)%","(3.02)%","(2.01)%","(1.07)%","(0.81)%","(10.53)%","(3.50)%","1.17%","8.87%","(26.53)%",
"No","Biocon Ltd.","BIOCON","PHARMA","1,033.65","(2.06)%","(3.03)%","(1.80)%","(0.34)%","(0.28)%","(5.95)%","(4.11)%","(5.60)%","69.98%","(12.99)%",
"No","Jyothy Laboratories Ltd.","JYOTHYLAB","CONSUMER GOODS","376.70","(0.92)%","(3.16)%","(1.10)%","0.02%","0.64%","11.29%","1.84%","7.63%","35.02%","(11.78)%",
"No","Syngene International Ltd.","SYNGENE","PHARMA","470.15","(3.53)%","(3.27)%","(2.46)%","(1.18)%","(0.21)%","(14.13)%","(4.79)%","(9.93)%","30.60%","(29.11)%",
"No","Granules India Ltd.","GRANULES","PHARMA","138.65","(1.32)%","(3.35)%","(0.65)%","0.17%","1.13%","0.25%","7.48%","10.35%","51.61%","(9.94)%",
"Yes","Reliance Communications Ltd.","RCOM","TELECOM","31.20","(2.65)%","(3.36)%","(1.14)%","(0.18)%","(1.23)%","(20.10)%","(13.57)%","(12.24)%","1.96%","(45.88)%",
"Yes","Adani Power Ltd.","ADANIPOWER","ENERGY","29.90","(2.45)%","(3.47)%","(1.38)%","(0.69)%","(0.59)%","(31.58)%","(26.17)%","(18.08)%","29.16%","(35.49)%",
"No","Kesoram Industries Ltd.","KESORAMIND","AUTOMOBILE","145.60","(2.31)%","(3.66)%","(2.89)%","(1.40)%","0.68%","(2.28)%","4.37%","(5.49)%","38.14%","(27.65)%",
"No","Ujjivan Financial Services Ltd.","UJJIVAN","FINANCIAL SERVICES","345.80","(2.76)%","(3.68)%","(2.99)%","(1.62)%","(0.60)%","(11.65)%","(22.81)%","(20.32)%","59.61%","(36.84)%",
"No","Ipca Laboratories Ltd.","IPCALAB","PHARMA","534.05","(2.55)%","(4.09)%","(1.63)%","(0.67)%","(0.77)%","(15.90)%","(2.72)%","1.91%","32.19%","(18.79)%",
"No","Kitex Garments Ltd.","KITEX","TEXTILES","408.00","0.79%","(6.80)%","(5.62)%","(1.44)%","2.04%","(6.42)%","(3.09)%","(6.20)%","15.68%","(24.86)%",
"No","Indoco Remedies Ltd.","INDOCO","PHARMA","224.00","","(11.20)%","(4.31)%","(2.97)%","(2.24)%","(5.47)%","(14.85)%","(15.98)%","7.43%","(38.12)%",
"No","Shilpi Cable Tech Ltd.","SHILPI","TELECOM","87.40","(5.00)%","(13.17)%","(23.26)%","(13.12)%","(7.60)%","(60.45)%","(59.91)%","(61.28)%","54.42%","(65.32)%",
